Will you book again;Missing information?;Why won't you booking again? (category);Why won't you book again? (other);Why book again? (category);Why book again? (other);
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;offer;;
Yes;;;;customer-support;;
Maybe;;;;customer-support;;
Yes;;;;customer-support;;
Maybe;;;;customer-support;;
Maybe;;;;customer-support;;
Yes;;;;customer-support;;
Yes;;;;customer-support;;
Yes;;;;customer-support;;
Yes;;;;customer-support;;
Yes;;;;customer-support;;
Yes;;;;customer-support;;
Yes;;;;customer-support;;
Yes;;;;customer-support;;
Yes;;;;customer-support;;
Yes;;;;customer-support;;
Yes;;;;customer-support;;
Yes;;;;customer-support;;
Yes;;;;customer-support;;
Maybe;;;;customer-support;;
Maybe;;;;customer-support;;
Yes;;;;customer-support;;
Yes;;;;customer-support;;
Yes;;;;customer-support;;
Yes;;;;customer-support;;
Yes;;;;customer-support;;
Yes;;;;customer-support;;
Yes;;;;customer-support;;
Yes;;;;customer-support;;
Maybe;;;;;;
Yes;;;;;;
Yes;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
Maybe;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
No;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
Yes;;;;;;
No;;;zonder waarschuwing wordt mijn tgv afgeschaft, procedure voor terugbetaling is archaïsch.;;;
No;;;Zeer veel problemen onderweg: treinen gecancelled in Brussel en in Berlijn: niet fijn als je maar enkele dagen gaat en drie kleine kinderen bij hebt. We waren heel gemotiveerd, maar nu helaas zeer teleurgesteld. ;;;
No;;;You change the time schedule without notifying!;;;
No;;;We paid for Direct Train from Brussels to Amsterdam, but it turned out we had to change the Train 4 times on both ways.;;;
No;;;Was not on time. The Controllers gave the wrong information and there was not body else to ask where to go. So confusing;;;
No;;;voyage Paris Limoges vraiment inconfortable plus beaucoup de retard;;;
No;;;Voyage infernal;;;
No;;customer-support;voyage debout sur la plateforme avec un billet 1ère classe dans un train bondé, sans info ni assistance ni proposition de remboursement;;;
No;;;Voyage de retour = enfer;;;
No;;;Vol de valise en gare de brussel;;;
No;;;Vervangbus kwam niet af;;;
No;;;vertragingen;;;
No;;;veeeeel te lang onderweg geweest!;;;
No;;;"Trop des travaux dans la ligne jusqu'au Luxembourg; trains supprimés; trains bondés parfois sans places pour s'assoir (pas agréable surtout quand on voyage avec un petit enfant) ";;;
No;;;Trop de retard, de correspondances manquées. La galère. La prochaine fois, je prends l'avion. ;;;
No;;;trop cher et pas assise!;;;
No;;;treinen worden afgelast zonder vooraf te melden;;;
No;;;treinen naar België in Amsterdam zeer last minute afgeschaft, totaal gebrek aan communicatie/informatie in het station Amsterdam Centraal;;;
No;;;Treinen hebben voortdurend vertraging;;;
No;                        We werden steeds van het ene muurtje naar het andere gestuurd, treinen werden afgelast, hadden ons beloofd dat we een vergoeding gingen krijgen, mail naar jullie gestuurd en niets meer van jullie gehoord ! ;before-travel;Treinen afgelast, mail gestuurd om terugbetaling, niets terug ontvangen ! ;;;
No;;;Trein werd de dag voor vertrek geannuleerd ;;;
No;    De trein reed niet. Was enkel te zien in antwerpen centraal zelf, online stond dit nergens aangegeven (ook niet in de app). Wanneer ik aan het loket om meer info en bijstand ging vragen, werd ik nogal onvriendelijk ontvangen. Er werden geen alternatieven aangeboden en geen restitutie aangeboden. Zo ben ik dan zelf beginnen zoeken naar een ander alternatief. Alle andere passagiers waren eveneens in paniek en stonden ook allemaal naar extra informatie te smeken.                     ;customer-support,before-travel;Trein reed niet, online nergens te zien;;;
No;;;trein reed niet, geen communicatie hierover;;;
No;;;Trein op de laatste moment afgelast in schiphol. ;;;
No;;;Trein niet genomen, geen optie voor terugbetaling;;;
No;;;Trein is niet verder gereden dan Berchem zonder uitleg.  Dan hebben we een taxi genomen om toch maar niet onze vlucht naar Azië te missen. Kost:350€  ;;;
No;;;trein in panne, mogen onze plan trekken om aan eurostar op tijd te raken, geen hulp van nmbs;;;
No;;customer-support;Trein geannuleerd, plots trein toch beschbaar, roltrap niet werken op 15b, 2 keer baggage dragen en dit op amper 3 min tijd;;;
No;;;Trein afgeschaft;;;
No;;;Trein afgeschaft;;;
No;;;Traveaux en Lux. Train que á Arlon, aprés un bus. bus ;;;
No;;;Trajets annulés sans compensation ;;;
No;;;Trajet aller du 8 juin annulé pour problème technique et trajet retour du 12 juin également annulé. J'ai donc acheté de tickets pour la poubelle;;;
No;;;Traject Puurs-Brussel Zuid is te moeilijk voor ouderen;;;
No;;;Trains are not trustworthy;;;
No;;;Train was cancelled less then 1 hour before the schedule;;;
No;;;Train was cancelled last minute and booking a similar train was now double the price I paid I advance. Overall a poor experience.;;;
No;;;Train was cancelled and I would like a refund but I can not work out how to get refund;;;
No;;;train was canceled;;;
No;;;train supprimé, avis 10 min avant le départ perdu 1300 euros de voyage à europa-park !!!!;;;
No;;;Train supprimé 15 min. avant l'heure de départ, 2h d'attente pour le suivant ;;;
No;                        Annulation du train retour et donc impossibilité de retourner à Bruxelles le soir ! Aucune information ;before-travel;Train retour annulé et aucune information préalable! Honteux ;;;
No;;;Train en retard, connexion manquée, perte de temps;;;
No;;;Train défectueux à 8h le maintenant à tourcoing…;;;
No;;;Train cancelled, could not refund ticket, end up paying for  the Thalys;;;
No;;;Train cancelled ;;;
No;;;Train cancelled;;;
No;;;Train broke in the middle of the trip, I missed my plane. ;;;
No;;;Train annulé. Je me suis retrouvée coincée à la gare avec un bébé, tous les trains annulés ;;;
No;;;train annulé à la dernière minute obligé de prendre 4 trains arrivé à 2h30 du matin et pratiquement agressé dans le métro pour aller de Frankfort à aéroport;;;
No;;;train annulé (voir mail auquel vous ne prenais meme pas la peine de répondreà;;;
No;;;toute l’expérience est cataclysmique.;;;
No;;;Tijdsregeling is simpelweg niet haalbaar;;;
No;;;the train was stopped and no info provided, no alternative transport;;;
No;;;The train was running late and I missed my connecting back to Antwerp. I almost couldn't get home that night after catching another train and bus. It took me an extra of 2 hours to get home. NOT HAPPY!;;;
No;;booking;The train was cancelled when we arrived Rotterdam. We had to get down from the train. Due to the flight schedule, we had to take a taxi from Rotterdam to the airport. It took around 200 euros. Unpredictable trains…;;;
No;;;The train was 41min late ;;;
No;;;The train service was a disaster;;;
No;;;The train got cancelled last minute!!!;;;
No;;;The first train I had at 6am was cancelled 15min before departure. Because the train didn’t arrive the evening before. If I had known then I could have rescheduled the meetings. The other trains I had to take always had more then 30min delay ;;;
No;;;TGV kapot waardoor onze bestemming vier uur later bereikt is, via Doornik, Lille, Paris Nord, metro naar Paris Gare de Lyon, Lyon Part Dieu, Orange. Omslachtig met zware bagage.;;;
No;;;Teveel vertragingen;;;
No;;;Terugreis werd geannuleerd. Er was weinig info beschikbaar over alternatieven ;;;
No;;customer-support;Terrible service and trains are always late/cancelled. Employees can be very rude. ;;;
No;;;te veel problemen met aansluitingen die niet gehaald kunnen worden en vertraging;;;
No;;;te duur;;;
No;;;Tallis vertraging waardoor aansluitng met Berlijn de mist inging;;;
No;;customer-support;slechte communicatie over wijzigingen vertrektijd en vertragingen;;;
No;;;Slechte communicatie bij afzeggen van trein ;;;
No;;;service inexistant et train réservé confirmé et inexistant également !;;;
No;;;Schandalig duur. 37 Euro voor een ritje heb een terug tussen Antwerpen en Breda is echt teveel.;;;
No;Foi muito dificil saber se estava realmente entrando no trem correto, pois não existia um número de trem. Eu comprei uma viagem para Bruges com troca de trem em Antuerpia e no letreiro na estação apareciam muitas outras cidades que não constavam quando escolhi o roteiro. A única coisa que parecia estar correta era o horário do trem. E ainda roubaram minha mochila no trem.;customer-support,before-travel;Roubaram minha mochila no trem ;;;
No;;;Retour catastrophique avec gros retard et complications en pleine nuit sans aide ni de SNCB ni de SNCF... et service de remboursement partiel muet !;;;
No;;;Retard de train qui m'a fait manqué ma correspondance ;;;
No;;;Retard de la ligne ;;;
No;;;Retard de 2h;;;
No;;customer-support,payment;Reis geannuleerd en geen alternatief mogelijk!;;;
No;;;Problems with trains;;;
No;;;problèmes durant le voyage de retour;;;
No;;booking,customer-support;Problemen bij werken op het spoor. Alternatieven zijn vaak geen optie wegens de vele overstappen.;;;
No;;;Problemen bij mijn reis;;;
No;;;"problemen bij de reis zelf; gemiste treinen; onbekwame conducteurs die 20 min in discussie gaan op perron met mensen die niet willen betalen, maar dus ook alle andere reizigers gijzelen";;;
No;                        BEAUCOUP TROP DE PROBLÈMES DE TRAINS ;customer-support,before-travel;Problème de trains;;;
No;;;prix élevé, retard de 58 minutes;;;
No;;;Prévenu 2 jours avant le départ de travaux qui modifient notre itinéraire ;;;
No;;;Premiere classe sans air conditionne jusqu' a Namur, 3h30 piur rejlindre Lux avec un EC;;;
No;;;Poor experience ;;;
No;;;Pas foutu d avoir un train retour mais on n y croyais pas de base donc nous n avons pas été surpris;;;
No;;;Pas de train lit/couchette comme réservé ! Publicité mensongère. ;;;
No;;;Pas de train de Bruxelles vers Braine quand je suis arrivé j'ai du prendre un Uber qui m'a coûté presque plus cher que le TGV ..;;;
No;;;Pas de climatisation chaleur insupportable 32°;;;
No;;;Overvolle trein, geen plaats voor bagage, Bar op trein gesloten wegens geen personeel, kortom niet voor herhaling vatbaar. Povere service voor de hoge prijs.;;;
No;;booking,customer-support,before-travel,payment;Ouderwetse treinen geen airco en heel moeilijk opstappen en afstappen ;;;
No;;;ongelooflijke vertraging van meer dan anderhalf uur op de terugreis;;;
No;;;Omdat ik met de trein niet op de luchthaven ben geraakt! Wegens een seinprobleem reden we terug naar Rotterdam. Daar heb ik om mijn vlucht niet te missen een taxi van 200€ moeten nemen. Zuur!!!;;;
No;;;Nul zekerheid van vertrek of aankomst;;;
No;;;Not possible to change tickets at Gare du Nord;;;
No;;customer-support;No help when trains cancelled and need to spend the night/find other means of transport ;;;
No;;;Negatieve ervaring zowel op heen als terugreis;;;
No;;;Ne sert à rien pour résoudre des problèmes hors Belgique ;;;
No;;;Na vertraging mijn aansluiting gemist + verkeerde info ontvangen in station Luik;;;
No;;;Mon trajet a eu 2 correspondances de plus qu’annoncé;;;
No;;;Mijn trein werd afgelast wat bijzonder onaangenaam is met een ingeplande agenda.;;;
No;;;Mijn trein was geanuleerd in Nederland 3 haltes voor mijn eindhalte.;;;
No;;;Mijn ICE trein van Keulen naar Brussel was afgeschaft ;;;
No;;;Mauvaise experience de voyage, aucune communication;;;
No;Je n'ai pas été averti d'une déviation qui concernait mon voyage.;before-travel;Les voyages ne se sont absolument pas déroulés comme prévu;;;
No;;;Les trajets en eurostar ont été plus que pénibles. A l'aller,debout,dans un train superbondé et au retour pareil.A quoi servent les réservations si c'est pour voyager comme des  bestiaux;;;
No;;;Les tickets ne sont pas délivrés de manière claire;;;
No;;;le voyage en soit a été plus long que prévu (3 trains annulés sur 4 prévu). La prochaine fois, malheureusement, je prendrais l'avion.;;;
No;;;Le voyage du retour était horrible car travaux sur la ligne mais aucune info supplémentaire n’a été envoyée en amont (changement, horaire,…) ;;;
No;;;Le train qui vient pas sans nous informer par avant;;;
No;;;Le train de retour à été annulé à la dernière minute. Nous avons été obligés de changer 3 fois de trains et de rester debout dans des voitures bondées.;;;
No;;;Le train avait pas de clime, il fesait une chaleur a crever. Pour le retour je suis allé avec NS;;;
No;;;le train a été annulé, j'ai du prendre ma voiture en urgence pour arriver à temps, et je n'ai pas de nouvelle pour le remboursement.;;;
No;;;La réservation a été effectuée assez tôt mais l'aéroport et l'heure de départ ont été modifiés! J'ai perdu 164 euros car il n'était pas possible de modifier les réservations ;;;
No;;;L accès à bxl midi est long et fastidieux;;;
No;;;Kustorganisatie,en klantendienst is van Italië goed bezig ,bestel wel ergens anders een ticket ;;;
No;;;J'ai du payer un supplément pour une ouverture de dossier pour une modification de train, 3 trains ont été annulés d'affiler, j'ai attendu plus de 3h30 à la gare de Amsterdam Central un dimanche soir ;;;
No;;;Indien er een treinrit wijzigt, wordt je niet degelijk geïnformeerd en moet je ook nog zelf voor een oplossing zoeken;;;
No;;;Ik vind het ongelooflijk dat jullie naar mijn reiservaring vragen terwijl de geboekte trein afgeschaft was.;;;
No;;;ik denk beter niet meer openbaar vervoer, drama;;;
No;;;hopeloze vertraging;;;
No;De trein Rotterdam-Amsterdam was cancelled en op de app kwam deze informatie niet. Er was ook geen oplossing. Na lang wachten moesten we een trein via leiden nemen maar hadden op 2 treinen bij overstappen geen plaats. De terugrit was hetzelfde onze trein was cancelled. Ik was pas om 11h op kantoor en heb mijn afspraak gemist. Ik vond het in zijn geheel een verschrikkelijke ervaring.             ;before-travel;Geen plaats om te zitten;;;
No;;;Geen betrouwbare dienst. Te frequente onregelmatigheden. Geen integratie met buitenlandse netbeheerders. Hopeloos.;;;
No;;;Gecancelde trein;;;
No;;;erreur dans l'emission des billets, déplorable;;;
No;;;Er wordt te veel persoonlijke informatie gevraagd en je wordt gedwongen om in tijdsblokken van 2 uur je reis te boeken.  ;;;
No;;;Énorme retard. Procédure de remboursement très complexe. D'ailleurs pas certaine d'avoir déjà reçu le dédommagement.;;;
No;;;Eén lange lijdensweg + nog steeds geen reactie op meer dan week geleden ingediende klacht.;;;
No;;;Due to technical problems, i never reached my destination;;;
No;;;des soucis avec DB;;;
No;;;Des retards trop de temps ;;;
No;;;Der Zug fiel aus;;;
No;;;De treinreis is niet doorgegaan wegens staking. We werden niet op de hoogte gebracht. Bijgevolg moest onze gastheer 400 km rijden om ons op te halen. Graag krijgen wij de treinrit heen terugbetaald;;;
No;;;De treinreis duurde ongeveer 6 uur.!!!!!;;;
No;;;De tijden en de route komen niet overeen met de realiteit;;;
No;;;de reis was rampzalig wegens gigantische vertragingen en gemiste aansluitingen;;;
No;;;De overstaptijd was te kort waardpor we de volgende gemist hebben.;;;
No;;;De aangekochte ic trein reed niet wegens werken, de voorgestelde omwegroute paste niet, daardoor zijn we € 75 verloren en moesten we met de auto terug.. verloren kost gedaan bij de terugreis op zondag 28/5;;;
No;;;correspondance catastrophique;;;
No;;;connexions mal organisées;;;
No;;;Connexion extrêmement lente entre Liège et Luxembourg, pas de correspondance assurée à Marloie (pour 2 minutes d'écart);;;
No;;;Communication déplorable ;;;
No;;;Both trains were late, did not receive information or notification ;;;
No;;;Bijna al mijn treinen hadden vertraging waardoor ik veel later aankwam;;;
No;;customer-support;Bij de heenreis bleek de trein gecanceld. Geen enkele verwittiging via app, sms of mail. De app bleek systematisch tot twee uur na voorzien vertrek vermelden dat de trein perfect op tijd was;;;
No;;customer-support;Bij de heenreis bleek de trein gecanceld . ;;;
No;;;Beide treinen werde geannuleerd ;;;
No;;;Because my train was cancelled and I haven’t received any news from you about a compensation for cancellation.;;;
No;;customer-support;Après une demande de remboursement à laquelle la sncb m envoie une réponse automatique et toujours pas de remboursement en vue et pour couronne le tout on me demande un avis de satisfaction ;;;
No;;customer-support;Always delayed;;;
No;;;altijd weer vertraging/afgeschafte treinen;;;
No;;;Alternatieve route m;;;
No;;;Alle treinen waren afgelast en ik kon mijn ticket niet annuleren om mijn geld terug te krijgen;;;
No;;;Al 2x zowel heenreis als terugreis verliepen met veel vetragingen. Treinen die niet rijden, wilde staking, vertragingen zowel in België als Duitsland, enz.;;;
No;;;Afgeschafte terugreis zonder compensatie ;;;
No;;;A cause des voyageurs qui sont mal elevée. Dans lesplaces a 4 devant moi : une fille et son copain n’arretait pas de sembrasser et elle avait ses jambes sur lui. C’estcompletement indecent. Ceux qui travaillent pour la sncb ont vu et n’ont rien dit;;;
No;"                       Il avait trop des retards et je suis arriver 6h plus tard. J'ai perdu ma réservation et en plus j'ai devrait payer plus 1 ticket supplémentaire pour arriver à ma destination. C'est terrible je vais jamais utilisé le trajet en trein avec vous dans l'avenir.

";before-travel;6h en retard jusqu'à ma destination. Plus j'ai payé 1 ticke extra jusqu'à ma destination.;;;
No;;;5 uur vertraging;;;
No;;;3uur 20min vertraging, resultaat: vliegtuig grmist en geen compensatie gekregen.;;;
No;;;1 verplaatsing trein vooraf 2 anderhalf uur vertraging in terugreis 3 proberen met parkeerautomaat in mechelen na terugkomst en dus tarief niet treinreiziger te betalen;;;
No;;payment,before-travel;;;;
No;;payment;;;;
No;;payment;;;;
No;;payment;;;;
No;;payment;;;;
No;;payment;;;;
No;;payment;;;;
No;;payment;;;;
No;;customer-support,booking;;;;
No;;customer-support,before-travel,payment,booking;;;;
No;                        Crazy complicated and user unfriendly ;customer-support,before-travel,payment;;;;
No; We werden steeds van het ene perron naar het andere gestuurd en uiteindelijk was de trein afgelast waardoor we 4.30u later op onze bestemming kwamen dan voorzien                        ;customer-support,before-travel;;;;
No;;customer-support,before-travel;;;;
No;   Heb een halve moeten bellen voor mijn tickets-telefoon sprong telkens af- mensen die ik aan de lijn hadden geen kennis van invalide ( blinde) tarieven. Telkens moest men het gaan vragen!!ik heb 50 euro telefoon betaald om mijn tickets te reserveren!           ;customer-support,before-travel;;;;
No;                     Toen ik wou opstappen op de nachttrein kreeg ik pas de informatie dat er een wagon ontbrak, walgelijke service.  ;customer-support,before-travel;;;;
No;J'ai arrivé a la gare de moscow et j'ai demande un peu d'information sur le train pour aller en Belgique et la plupart ne me reponds pas les racistes de fils de putes ;customer-support,before-travel;;;;
No;;customer-support,before-travel;;;;
No;  Je n'ai jamais reçu de nouvelles de votre service clientèle concernant ma plainte.                ;customer-support,before-travel;;;;
No;    The platform number is announced few minutes before departure                     ;customer-support,before-travel;;;;
No;Our train was cancelled and no communication before hand was made! Which made us lose our time! ;customer-support,before-travel;;;;
No;How to be indemnized for delayed trains                        ;customer-support,before-travel;;;;
No;My train was cancelled. I have received no notification from SNCB or Thalys about the cancellation even 5 days after the cancellation. There is no communication on how I can claim a refund for my tickets. ;customer-support,before-travel;;;;
No;NO identification on the train. ;customer-support,before-travel;;;;
No;     In Schiphol mijn trein was gecanceled.  Er was geen infodienst!!! Geen loket!!!! Ik was verwaarloosd!!! Overal gezocht.  Ik vroeg help aan andere passagiers.!!!?? Ik vond het jammer.  In zo'n land en zo'n grote luchthaven is er geen infodiensten en geen loket.  Ze laten u in u eigen lot!!! TRIESTIG EH ;customer-support,before-travel;;;;
No;;customer-support,before-travel;;;;
No;Trip interrupted by track works....which is fine... but no notification, only on arrival at station too late to change. No customer support or presence and bus replacement was atrocious. Bus replacement was an absolute joke. We had to wait over an hour for bus to arrive and it didn't leave until it was full. No one to inform us what was going on.                ;customer-support,before-travel;;;;
No;;customer-support;;;;
No;;customer-support;;;;
No;;customer-support;;;;
No;;customer-support;;;;
No;;customer-support;;;;
No;;customer-support;;;;
No;;customer-support;;;;
No;;customer-support;;;;
No;;customer-support;;;;
No;;customer-support;;;;
No;;customer-support;;;;
No;;customer-support;;;;
No;;customer-support;;;;
No;;customer-support;;;;
No;;customer-support;;;;
No;;customer-support;;;;
No;;booking,payment;;;;
No;;booking,customer-support,before-travel;;;;
No;;booking,before-travel;;;;
No;;booking;;;;
No;;booking;;;;
No;;booking;;;;
No;;booking;;;;
No;My plane got delayed and I couldn't cancel or change my train ticket which i bought online.;before-travel,payment;;;;
No;;before-travel;;;;
No;"Trein Brussel-Keulen vertrok op een ander uur dan aangegeven in de app, en uiteindelijk in Leuven ipv Brussel zonder info daarover.
Trein Keulen-Berlijn was afgeschaft, maar dat werd ook niet aangegeven, enkel dat info niet beschikbaar was.                         ";before-travel;;;;
No; De rechtstreekse verbinding was onderbroken dr werken maar dit was bijzonder slecht/onduidelijk aangegeven                       ;before-travel;;;;
No;                 Alle informatie over onze geannuleerde ICE trein en onze ICE trein die één uur te vroeg is vertrokken waardoor we twee keren op een ICE trein gezet zijn die niets dan problemen had. Doel was 2 x 4u 20 op de trein te zitten en in realiteit is het 2 x 7 u trein geworden met ons 3,5 jarig kindje, het was een fiasco.       ;before-travel;;;;
No;"      Onjuiste informatie op de borden en in de app. De trein naar Frankfurt reed niet. De omroep was onverstaanbaar 
";before-travel;;;;
No;                        Trein stond stil en zonder info werd k aan m;before-travel;;;;
No;                        in het terugkeren was mijn eerste TGV 50 minuten te laat, waardoor ik in amper 30 minuten moest overstappen van Gare de Lyon naar Gare du Nord. Ik heb moeten lopen voor mijn leven. Er is ook nergens in die stations een infopunt waar je om hulp kan vragen. Ik heb toen op de valreep deze trein gehaald, buiten adem en volledig uitgedroogd. Bleek dat de bar op de trein ook nog eens dicht was.;before-travel;;;;
